221;Chtelnica;2556
222;KocinLancar;525
223;Krakovany;1443
224;Moravany nad Vahom;2393
225;Nizna okres Piestany;549
226;Ostrov okres Piestany;1232
227;Pecenady;536
228;Piestany;27777
229;Prasnik;849
230;Rakovice;584
231;Ratnovce;1063
232;Sokolovce;1291
233;Trebatice;1346
234;Velke Kostolany;2747
235;Vesele;1180
236;Vrbove;5988
237;Sterusy;499
238;Velke Orviste;1066
239;Hubina;507
240;Ducove;457
241;Basovce;349
242;Sipkove;307
243;Banka;2116
244;Senica;20402
245;Bilkove Humence;202
246;Borsky Svaty Jur;1666
247;Borsky Mikulas;3960
248;Cerova;1176
249;Cary;1301
250;Castkov;595
251;Dojc;1254
252;Hlboke;931
253;Hradiste pod Vratnom;664
254;Jablonica;2230
255;Kovalov;707
256;Kuklov;793
257;Kuty;3997
258;Laksarska Nova Ves;1092
259;Moravsky Svaty Jan;2106
260;Osuske;602
261;Plavecky Peter;618
262;Podbranc;628
263;Prietrz;734
264;Prievaly;1004
265;Rovensko;448
266;Smolinske;908
267;Smrdaky;674
268;Sobotiste;1496
269;Sajdikove Humence;1122
270;SastinStraze;5074
271;Stefanov;1651
272;Sekule;1759
273;Rohov;404
274;Rybky;457
275;Brodske;2315
276;Dubovce;644
277;Gbely;5155
278;Holic;11149
279;Chropov;385
280;Katov;632
281;Kopcany;2607
282;Kovalovec;139
283;Letnicie;503
284;Lopasov;332
285;Mokry Haj;708
286;Oreske okres Skalica;387
287;Petrova Ves;1085
288;Popudinske Mocidlany;905
289;Prietrzka;489
290;Radimov;572
291;Radosovce okres Skalica;1763
292;Skalica;14914
293;Trnovec;313
294;Unin;1223
295;Vradiste;819
296;Trnava;65536
297;Binovce;677
298;Bohdanovce nad Trnavou;1366
299;Boleraz;2310
300;Borova;432
301;Brestovany;2618
302;Bucany;2316
303;Bukova;667
304;Cifer;4225
305;Dechtice;1853
306;Dobra Voda;819
307;Dolna Krupa;2271
308;Dolne Dubove;700
309;Dolne Oresany;1284
310;Horna Krupa;497
311;Horne Dubove;377
312;Horne Oresany;1892
313;Jaslovske Bohunice;2249
314;Katlovce;1171
315;Kosolna;778
316;Majcichov;1942
317;Malzenice;1483
318;Nahac;427
319;Ruzindol;1633
320;Smolenice;3370
321;Sucha nad Parnou;2102
322;Spacince;2797
323;Surovce;2330
324;Trstin;1443
325;Voderady;1491
326;Zavar;2275
327;Zelenec;2563
328;Krizovany nad Dudvahom;1831
329;Opoj;1100
330;Vlckovce;1343
331;Pavlice;565
332;Slovenska Nova Ves;511
333;Dlha;442
334;Radosovce okres Trnava;401
335;Dolne Lovcice;747
336;Selpice;901
337;Losonec;521
338;Biely Kostol;1827
339;Hrnciarovce nad Parnou;2267
340;Zvoncin;817
341;Lutov;166
342;Mala Hradna;381
343;Male Hoste;397
344;Miezgovce;279
345;Nedasovce;440
346;Omastina;35
347;Pecenany;501
348;Podluzany okres Banovce nad Bebravou;861
349;Pravotice;306
350;Prusy;605
351;Ruskovce okres Banovce nad Bebravou;514
352;Rybany;1460
353;Slatina nad Bebravou;417
354;Slatinka nad Bebravou;191
355;Sipkov;142
356;Sisov;494
357;Timoradza;536
358;Trebichava;37
359;Uhrovec;1510
360;Uhrovske Podhradie;36
361;Velke Hoste;576
362;Velke Chlievany;491
363;Vysocany;112
364;Zlatniky;681
365;ZitnaRadisa;453
366;Banovce nad Bebravou;18606
367;Brezolupy;502
368;Cimenna;96
369;Cierna Lehota okres Banovce nad Bebravou;112
370;Dezerice;887
371;Dolne Nastice;573
372;Dubnicka;117
373;Dvorec;430
374;Halacovce;369
375;Horne Nastice;439
376;Krasna Ves;514
377;Ksinna;494
378;Velke Drzkovce;661
379;Otrhanky;412
380;Libichava;138
381;Chuda Lehota;210
382;Pochabany;245
383;Borcany;253
384;Bolesov;1567
385;Cerveny Kamen;691
386;Dubnica nad Vahom;24262
387;Dulov;919
388;Horna Poruba;1083
389;Ilava;5456
390;Koseca;2631
391;Ladce;2599
392;Kosecke Podhradie;1038
393;Mikusovce okres Ilava;1027
394;Nova Dubnica;11147
395;Pruske;2283
396;Tuchyna;780
397;Zliechov;596
398;Borcice;604
399;Kamenicany;549
400;Sedmerovec;434
401;Slavnica;829
402;Krivoklat;242
403;Vrsatske Podhradie;223
404;Bohunice okres Ilava;767
405;Brestovec okres Myjava;947
406;Brezova pod Bradlom;4949
407;Bukovec okres Myjava;422
